Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
-6.0,5.0,2.0,27.0,42.9,555.0,137.0,352.0,52.0,70.0,2.0,40.0,152.9,7.3
6.0,3.0,9.0,21.0,55.3,534.0,90.0,257.0,42.0,56.0,5.0,83.33333333333334,116.6,6.0
-6.0,6.0,5.0,21.0,37.8,407.0,70.0,291.0,35.0,61.0,1.0,33.33333333333333,118.1,6.0
22.0,10.0,9.0,25.0,59.2,589.0,142.0,203.0,51.0,68.0,0.0,0.0,112.4,6.6
-22.0,0.0,0.0,14.0,33.3,291.0,71.0,410.0,41.0,56.0,7.0,70.0,110.5,6.2
9.0,5.0,4.0,18.0,40.7,371.0,88.0,283.0,56.0,69.0,2.0,100.0,115.4,5.6
-9.0,2.0,2.0,7.0,51.5,491.0,107.0,266.0,47.0,70.0,3.0,60.0,113.2,6.0
66.0,12.0,8.0,19.0,59.2,714.0,152.0,289.0,51.0,77.0,3.0,60.0,140.6,6.2
-66.0,5.0,8.0,19.0,34.1,440.0,100.0,415.0,45.0,69.0,9.0,75.0,141.1,5.7
60.0,8.0,3.0,17.0,54.6,576.0,91.0,217.0,35.0,58.0,0.0,0.0,107.4,5.4
-60.0,0.0,2.0,15.0,38.6,414.0,77.0,297.0,36.0,72.0,7.0,87.5,105.6,5.2
2.0,2.0,4.0,31.0,35.4,428.0,115.0,373.0,56.0,105.0,3.0,75.0,148.1,6.5
-2.0,4.0,7.0,22.0,53.0,638.0,113.0,304.0,42.0,74.0,1.0,50.0,142.4,6.2
-38.0,0.0,2.0,6.0,22.5,286.0,37.0,268.0,40.0,65.0,4.0,80.0,104.4,4.6
38.0,5.0,12.0,20.0,66.7,670.0,103.0,95.0,37.0,75.0,0.0,0.0,104.8,4.3
-23.0,3.0,11.0,27.0,37.5,306.0,79.0,273.0,48.0,80.0,1.0,25.0,116.2,6.9
23.0,4.0,1.0,6.0,50.7,648.0,72.0,189.0,46.0,68.0,3.0,100.0,108.8,5.7
25.0,4.0,5.0,16.0,32.1,298.0,73.0,401.0,38.0,59.0,3.0,60.0,113.3,5.5
-25.0,5.0,5.0,17.0,60.7,627.0,125.0,185.0,28.0,68.0,3.0,75.0,120.5,5.4
-10.0,5.0,12.0,49.0,59.4,448.0,103.0,182.0,33.0,62.0,2.0,40.0,112.0,4.7
10.0,5.0,2.0,8.0,31.5,204.0,53.0,243.0,28.0,48.0,3.0,60.0,106.7,3.9
-3.0,2.0,3.0,12.0,41.7,508.0,102.0,342.0,43.0,63.0,4.0,80.0,112.8,5.3
3.0,5.0,7.0,18.0,50.6,398.0,143.0,294.0,55.0,57.0,2.0,100.0,115.4,6.1
-8.0,2.0,3.0,13.0,51.2,508.0,126.0,232.0,41.0,48.0,3.0,42.85714285714285,119.2,5.9
8.0,7.0,6.0,19.0,40.0,414.0,79.0,295.0,48.0,90.0,1.0,50.0,117.9,6.0
28.0,7.0,6.0,26.0,57.1,433.0,129.0,190.0,39.0,65.0,0.0,0.0,110.4,5.5
-28.0,2.0,1.0,8.0,34.4,323.0,80.0,380.0,27.0,39.0,4.0,57.14285714285714,115.9,5.7
-6.0,2.0,3.0,16.0,48.3,561.0,126.0,316.0,49.0,68.0,3.0,100.0,140.7,6.6
6.0,3.0,7.0,17.0,44.3,462.0,120.0,338.0,52.0,82.0,2.0,100.0,136.9,6.2
4.0,8.0,5.0,13.0,46.5,450.0,104.0,263.0,38.0,51.0,1.0,100.0,108.6,5.3
-4.0,1.0,5.0,16.0,46.6,469.0,76.0,286.0,36.0,54.0,6.0,75.0,108.3,5.1
7.0,8.0,5.0,21.0,61.6,625.0,159.0,206.0,37.0,71.0,1.0,50.0,114.6,5.3
-7.0,2.0,1.0,12.0,31.0,254.0,80.0,339.0,40.0,50.0,6.0,75.0,116.2,5.6
-27.0,4.0,7.0,18.0,44.2,593.0,100.0,324.0,33.0,67.0,5.0,71.42857142857143,148.9,6.2
27.0,7.0,4.0,21.0,47.4,504.0,121.0,304.0,42.0,58.0,3.0,75.0,140.8,5.5
18.0,7.0,8.0,16.0,54.7,629.0,98.0,241.0,39.0,69.0,4.0,80.0,136.7,5.4
-18.0,5.0,2.0,22.0,37.0,404.0,99.0,367.0,43.0,76.0,4.0,57.14285714285714,138.0,5.5
-1.0,3.0,7.0,8.0,46.8,439.0,111.0,298.0,51.0,77.0,0.0,0.0,114.0,6.1
1.0,2.0,1.0,9.0,45.8,417.0,98.0,309.0,54.0,68.0,3.0,100.0,115.0,5.9
-3.0,2.0,1.0,15.0,35.2,549.0,74.0,320.0,32.0,54.0,3.0,60.0,107.7,4.9
3.0,5.0,6.0,20.0,56.5,293.0,115.0,188.0,39.0,55.0,1.0,50.0,106.6,5.4
1.0,9.0,3.0,8.0,41.5,412.0,105.0,335.0,30.0,59.0,5.0,45.45454545454545,107.3,6.1
-1.0,11.0,4.0,13.0,52.0,479.0,116.0,223.0,32.0,62.0,5.0,55.55555555555556,107.7,5.8
-1.0,12.0,9.0,24.0,60.2,789.0,182.0,300.0,56.0,95.0,0.0,0.0,148.0,6.5
1.0,0.0,4.0,9.0,32.5,375.0,87.0,445.0,54.0,69.0,11.0,91.66666666666666,142.0,6.3
